Company,Location,Industry,Date,Year,Total_Employees,Laid_Off,Layoff_Percentage,Department,Funds_Raised,Stage,Layoff_Intensity_Category,"Company_Size_Category
","Funding_Category
"
Oracle,United States,Social Media,2022-08-18,2022,"3,073",135,4.39%,Design,Not specified,Private,Low,Small,Unknown
Salesforce,Germany,Automotive,2021-10-18,2021,"49,061",985,2.01%,HR,1B,Private,Low,Large,Late Stage
Company27,Canada,Cloud,2025-05-23,2025,"44,822",658,1.47%,Sales,Not Specified,Series A,Low,Large,Unknown
Company8,United Kingdom,Hardware,2020-10-30,2020,"28,105",520,1.85%,HR,Not Specified,Public,Low,Large,Unknown
Company6,Unknown,E-commerce,2024-09-23,2024,"40,351",3937,9.76%,Marketing,1B,Series A,Severe,Large,Late Stage
Company37,India,Cloud,2025-11-14,2025,"20,851",1962,9.41%,Design,2B,Public,Severe,Large,Late Stage
Company18,Canada,Automotive,2023-11-02,2023,"4,857",10,0.21%,Marketing,500M,Private,Low,Small,Growth Stage
Company36,United Kingdom,E-commerce,2021-10-07,2021,"43,597",2328,5.34%,Design,500M,Private,Moderate,Large,Growth Stage
Company27,United States,E-commerce,2024-08-09,2024,"45,682",816,1.79%,Operations,5B+,Public,Low,Large,Mature
Company28,United States,Automotive,2020-03-03,2020,"20,987",1069,5.09%,Product,500M,IPO,Moderate,Large,Growth Stage
Company37,Germany,Fintech,2023-08-19,2023,"36,289",1687,4.65%,Engineering,500M,IPO,Low,Large,Growth Stage
Company42,United Kingdom,Cloud,2021-08-02,2021,"43,747",3682,8.42%,Finance,Not Specified,Series A,Severe,Large,Unknown
Zoom,Unknown,Hardware,2021-02-23,2021,"8,535",158,1.85%,HR,5B+,Series A,Low,Medium,Mature
Company8,United States,Hardware,2020-10-19,2020,"5,190",487,9.38%,HR,Not specified,Public,Severe,Medium,Unknown
DoorDash,United States,Fintech,2021-09-15,2021,"24,831",1338,5.39%,Engineering,5B+,Series A,Moderate,Large,Mature
Airbnb,United States,Software,2024-04-25,2024,"44,336",1330,3.00%,Engineering,Not Specified,IPO,Low,Large,Unknown
Company4,United Kingdom,Automotive,2025-01-10,2025,"1,560",42,2.69%,Finance,500M,IPO,Low,Small,Growth Stage
Company6,United Kingdom,Entertainment,2024-08-15,2024,"14,074",991,7.04%,Sales,5B+,Private,High,Medium,Mature
Company25,United Kingdom,Fintech,2025-09-19,2025,"34,716",1413,4.07%,HR,1B,Private,Low,Large,Late Stage
Company44,Canada,Social Media,2023-07-16,2023,"3,439",NA,0.00%,Engineering,500M,IPO,Low,Small,Growth Stage
Stripe,Unknown,Software,2020-12-01,2020,"18,499",660,3.57%,Finance,5B+,Public,Low,Medium,Mature
Company3,United Kingdom,Automotive,2022-06-15,2022,"28,780",678,2.36%,HR,1B,Private,Low,Large,Late Stage
Company36,United States,Social Media,2025-09-20,2025,"20,142",443,2.20%,Finance,100M,Public,Low,Large,Early Stage
Company46,United States,E-commerce,2022-06-20,2022,"1,148",131,11.41%,Finance,Not specified,Public,Severe,Small,Unknown
Company47,Canada,Entertainment,2020-12-31,2020,"36,904",2532,6.86%,Design,2B,Series A,Moderate,Large,Late Stage
Company22,India,Software,2022-02-16,2022,"1,897",121,6.38%,Engineering,Not Specified,IPO,Moderate,Small,Unknown
Company41,Unknown,Hardware,2024-04-09,2024,"33,080",3158,9.55%,Design,500M,IPO,Severe,Large,Growth Stage
Company42,United States,Software,2022-12-06,2022,"29,022",2154,7.42%,HR,Not specified,Public,High,Large,Unknown
Nvidia,United Kingdom,Software,2020-08-24,2020,"23,959",1942,8.11%,Finance,5B+,Public,Severe,Large,Mature
Company15,United States,Social Media,2020-04-19,2020,"14,146",1023,7.23%,Finance,5B+,Series A,High,Medium,Mature
Shopify,France,Cloud,2021-11-15,2021,"6,322",630,9.97%,Finance,5B+,IPO,Severe,Medium,Mature
Company19,United States,Social Media,2022-07-27,2022,"1,526",22,1.44%,Design,100M,Private,Low,Small,Early Stage
Microsoft,Germany,Cloud,2022-11-30,2022,"2,852",175,6.14%,Design,500M,Public,Moderate,Small,Growth Stage
Company4,United Kingdom,Social Media,2020-10-09,2020,"25,760",1061,4.12%,Sales,5B+,Public,Low,Large,Mature
Company26,Unknown,Hardware,2023-06-23,2023,"24,233",1770,7.30%,Engineering,1B,IPO,High,Large,Late Stage
Snowflake,United States,Automotive,2021-08-08,2021,"18,572",211,1.14%,Engineering,2B,IPO,Low,Medium,Late Stage
Company24,Germany,Social Media,2022-05-25,2022,"19,722",510,2.59%,Finance,100M,IPO,Low,Medium,Early Stage
Uber,France,Fintech,2021-09-23,2021,"21,517",638,2.97%,HR,500M,Public,Low,Large,Growth Stage
Company43,United States,Software,2022-12-13,2022,"4,293",210,4.89%,Sales,2B,Private,Low,Small,Late Stage
Twitter,United States,Fintech,2021-12-29,2021,"13,026",879,6.75%,Design,Not specified,Private,Moderate,Medium,Unknown
Company41,India,Fintech,2023-03-10,2023,"26,706",364,1.36%,Sales,Not specified,Private,Low,Large,Unknown
Company4,United Kingdom,Fintech,2020-07-12,2020,"6,023",114,1.89%,Engineering,5B+,Public,Low,Medium,Mature
Company47,United States,Cloud,2020-03-20,2020,"21,369",1405,6.57%,Engineering,5B+,Public,Moderate,Large,Mature
Apple,United States,Entertainment,2022-09-20,2022,"5,370",95,1.77%,Finance,2B,Private,Low,Medium,Late Stage
Company45,United States,Fintech,2025-09-27,2025,"8,235",43,0.52%,Operations,1B,IPO,Low,Medium,Late Stage
Company39,France,Social Media,2024-12-04,2024,"46,609",412,0.88%,Engineering,Not Specified,Series A,Low,Large,Unknown
Company49,India,Fintech,2022-07-18,2022,"15,281",1214,7.94%,Sales,Not Specified,Private,High,Medium,Unknown
Company17,Germany,Automotive,2021-08-06,2021,"7,869",NA,0.00%,Operations,1B,Private,Low,Medium,Late Stage
Company15,United Kingdom,Social Media,2025-05-25,2025,"38,840",1697,4.37%,HR,2B,Public,Low,Large,Late Stage
Company10,Canada,Social Media,2023-02-24,2023,"39,881",NA,0.00%,HR,5B+,Private,Low,Large,Mature
DoorDash,Canada,Automotive,2021-08-30,2021,"28,425",NA,0.00%,HR,100M,IPO,Low,Large,Early Stage
Company34,France,Automotive,2023-04-15,2023,"18,068",1368,7.57%,HR,Not specified,IPO,High,Medium,Unknown
Zoom,United States,E-commerce,2020-07-16,2020,"18,006",999,5.55%,Engineering,5B+,Series A,Moderate,Medium,Mature
Amazon,Unknown,Social Media,2023-12-13,2023,"16,739",286,1.71%,HR,Not Specified,Public,Low,Medium,Unknown
Google,Canada,Social Media,2022-04-04,2022,"14,698",595,4.05%,Operations,100M,Private,Low,Medium,Early Stage
Intel,United States,Social Media,2022-11-09,2022,"21,895",979,4.47%,Finance,Not Specified,Series A,Low,Large,Unknown
Intel,United States,Entertainment,2020-03-03,2020,"15,318",NA,0.00%,Operations,5B+,Series A,Low,Medium,Mature
Company1,France,Social Media,2020-08-30,2020,"41,366",3663,8.86%,Marketing,Not Specified,Public,Severe,Large,Unknown
Company9,United States,Software,2020-03-23,2020,"15,862",1252,7.89%,Finance,Not Specified,Public,High,Medium,Unknown
Company9,France,Hardware,2020-08-25,2020,"20,748",1641,7.91%,Design,Not Specified,Series A,High,Large,Unknown
Company15,United States,Fintech,2021-01-01,2021,"25,392",1823,7.18%,Design,2B,IPO,High,Large,Late Stage
Company33,United States,Fintech,2025-07-23,2025,"30,665",1834,5.98%,Product,1B,IPO,Moderate,Large,Late Stage
Company43,Unknown,Hardware,2023-09-23,2023,"37,733",NA,0.00%,Design,5B+,Private,Low,Large,Mature
Company32,United States,Automotive,2025-12-28,2025,"9,080",175,1.93%,Engineering,500M,Private,Low,Medium,Growth Stage
Company36,Unknown,Entertainment,2021-09-07,2021,"20,923",536,2.56%,Operations,500M,Public,Low,Large,Growth Stage
Company2,United States,Hardware,2024-03-27,2024,"18,279",1531,8.38%,Product,Not Specified,IPO,Severe,Medium,Unknown
Twitter,United Kingdom,Software,2024-05-22,2024,"18,412",1252,6.80%,Sales,Not specified,Series A,Moderate,Medium,Unknown
Company40,United States,Entertainment,2025-05-05,2025,"30,881",1084,3.51%,Marketing,5B+,Series A,Low,Large,Mature
Company43,United States,Automotive,2025-02-21,2025,"14,788",851,5.75%,Design,5B+,IPO,Moderate,Medium,Mature
Netflix,United States,E-commerce,2022-09-07,2022,"39,367",2279,5.79%,HR,1B,Series A,Moderate,Large,Late Stage
Meta,France,Software,2025-05-18,2025,"22,830",1996,8.74%,Engineering,100M,Private,Severe,Large,Early Stage
Nvidia,United States,Hardware,2020-12-05,2020,"19,823",1501,7.57%,HR,100M,Public,High,Medium,Early Stage
Company32,United Kingdom,Social Media,2024-06-23,2024,"23,538",44,0.19%,Operations,2B,Public,Low,Large,Late Stage
Company13,United States,Cloud,2020-08-03,2020,"7,566",127,1.68%,Product,100M,IPO,Low,Medium,Early Stage
Company16,United States,Fintech,2024-10-17,2024,"18,938",596,3.15%,HR,5B+,Public,Low,Medium,Mature
Company48,United States,Automotive,2023-12-30,2023,"48,272",978,2.03%,Design,5B+,IPO,Low,Large,Mature
Company3,United States,Software,2021-09-07,2021,"20,974",1044,4.98%,Operations,1B,Private,Low,Large,Late Stage
Company18,United States,Entertainment,2021-12-02,2021,"24,600",2135,8.68%,Sales,2B,Series A,Severe,Large,Late Stage
Company26,Germany,Automotive,2024-05-11,2024,"26,174",1194,4.56%,Marketing,5B+,IPO,Low,Large,Mature
Company17,Germany,Automotive,2020-05-16,2020,"11,847",467,3.94%,HR,5B+,IPO,Low,Medium,Mature
Netflix,Canada,Automotive,2021-10-21,2021,"15,974",334,2.09%,Finance,500M,IPO,Low,Medium,Growth Stage
Company32,United Kingdom,Cloud,2024-03-17,2024,"28,185",2019,7.16%,Marketing,1B,Public,High,Large,Late Stage
Company7,United States,Cloud,2024-02-13,2024,"1,256",39,3.11%,Engineering,Not Specified,Public,Low,Small,Unknown
Company34,Unknown,Software,2022-01-16,2022,"29,080",NA,0.00%,Sales,Not specified,Public,Low,Large,Unknown
Microsoft,Canada,Hardware,2023-04-01,2023,"32,385",852,2.63%,Finance,Not specified,IPO,Low,Large,Unknown
Company30,India,Automotive,2021-02-03,2021,"1,834",198,10.80%,Sales,100M,Series A,Severe,Small,Early Stage
Company7,Canada,Social Media,2021-10-03,2021,"39,745",1598,4.02%,Product,2B,Private,Low,Large,Late Stage
Company39,United States,Social Media,2020-02-22,2020,"8,443",303,3.59%,Engineering,Not Specified,Private,Low,Medium,Unknown
Company23,France,E-commerce,2025-05-14,2025,"48,498",702,1.45%,Finance,1B,Private,Low,Large,Late Stage
Company42,Germany,Cloud,2024-01-29,2024,"16,496",1599,9.69%,Product,1B,Series A,Severe,Medium,Late Stage
Company46,United States,E-commerce,2022-12-01,2022,"41,473",4098,9.88%,Marketing,Not specified,IPO,Severe,Large,Unknown
Company30,Unknown,E-commerce,2020-08-11,2020,"48,090",135,0.28%,Marketing,5B+,Series A,Low,Large,Mature
Company23,United States,Entertainment,2022-01-15,2022,"27,617",2563,9.28%,HR,Not Specified,Series A,Severe,Large,Unknown
Google,United States,Social Media,2020-06-14,2020,"20,230",836,4.13%,HR,Not specified,Public,Low,Large,Unknown
Company6,United States,Cloud,2023-11-25,2023,"31,694",736,2.32%,HR,100M,IPO,Low,Large,Early Stage
Company45,United States,Fintech,2024-06-10,2024,"29,267",563,1.92%,HR,100M,Series A,Low,Large,Early Stage
Company30,Unknown,Cloud,2024-06-25,2024,"27,243",2354,8.64%,Engineering,Not Specified,IPO,Severe,Large,Unknown
Company49,France,Automotive,2023-11-17,2023,"5,427",251,4.63%,Operations,1B,Private,Low,Medium,Late Stage
Company50,Unknown,Social Media,2025-03-08,2025,"7,621",596,7.82%,Sales,100M,Private,High,Medium,Early Stage
Company35,India,Automotive,2025-11-05,2025,"43,112",3507,8.13%,Design,Not Specified,Private,Severe,Large,Unknown
Stripe,United States,Cloud,2024-07-15,2024,"29,688",2619,8.82%,Finance,500M,Private,Severe,Large,Growth Stage
Company39,India,Hardware,2021-05-19,2021,"6,574",301,4.58%,HR,500M,IPO,Low,Medium,Growth Stage
Company39,United Kingdom,Fintech,2025-11-02,2025,"1,260",58,4.60%,Design,Not Specified,Series A,Low,Small,Unknown
Salesforce,United States,Automotive,2021-05-28,2021,"8,953",859,9.59%,Operations,Not Specified,IPO,Severe,Medium,Unknown
Company1,Unknown,Cloud,2025-10-24,2025,"32,922",707,2.15%,Sales,1B,Series A,Low,Large,Late Stage
Shopify,United Kingdom,Automotive,2020-05-28,2020,"11,190",1076,9.62%,Engineering,2B,Public,Severe,Medium,Late Stage
Company15,United States,Cloud,2020-11-25,2020,"42,787",1073,2.51%,HR,1B,Series A,Low,Large,Late Stage
Company4,United States,E-commerce,2023-08-24,2023,"35,959",677,1.88%,HR,Not specified,IPO,Low,Large,Unknown
Company44,France,Hardware,2022-03-30,2022,"30,367",2789,9.18%,HR,5B+,IPO,Severe,Large,Mature
Nvidia,United States,Social Media,2025-03-05,2025,"11,426",875,7.66%,Marketing,500M,Public,High,Medium,Growth Stage
Company9,United States,E-commerce,2025-03-15,2025,"38,486",1586,4.12%,Finance,500M,Private,Low,Large,Growth Stage
Company44,Canada,Fintech,2022-12-05,2022,"39,098",1119,2.86%,Product,5B+,IPO,Low,Large,Mature
Company43,France,Fintech,2021-07-31,2021,"22,618",1587,7.02%,Finance,Not Specified,IPO,High,Large,Unknown
Company43,United Kingdom,Automotive,2023-11-10,2023,"31,020",689,2.22%,Operations,2B,Private,Low,Large,Late Stage
Company29,Unknown,Automotive,2020-01-10,2020,"31,995",1279,4.00%,HR,Not specified,Public,Low,Large,Unknown
Snowflake,United States,Software,2023-08-30,2023,"26,348",2509,9.52%,Marketing,Not Specified,IPO,Severe,Large,Unknown
Company41,United States,Entertainment,2025-09-25,2025,"30,369",1252,4.12%,Design,500M,Public,Low,Large,Growth Stage
Company7,United States,Entertainment,2020-07-20,2020,"45,214",666,1.47%,Sales,5B+,IPO,Low,Large,Mature
Company42,Unknown,Cloud,2024-07-31,2024,"44,809",2144,4.78%,Operations,Not Specified,Private,Low,Large,Unknown
Company43,United Kingdom,Software,2025-04-16,2025,"12,351",1237,10.02%,Finance,1B,IPO,Severe,Medium,Late Stage
Salesforce,United Kingdom,Fintech,2022-04-30,2022,"40,673",753,1.85%,Sales,500M,IPO,Low,Large,Growth Stage
Company39,United States,Entertainment,2023-09-05,2023,"11,482",1078,9.39%,Operations,500M,Private,Severe,Medium,Growth Stage
Company7,United States,Entertainment,2020-09-21,2020,"29,897",1004,3.36%,Marketing,2B,Private,Low,Large,Late Stage
Shopify,Germany,E-commerce,2024-06-07,2024,"4,898",68,1.39%,Marketing,1B,Public,Low,Small,Late Stage
Company20,Unknown,Fintech,2023-03-30,2023,"24,104",1930,8.01%,Finance,1B,Private,Severe,Large,Late Stage
Company2,United Kingdom,Entertainment,2022-09-02,2022,"35,831",2010,5.61%,Finance,Not Specified,Private,Moderate,Large,Unknown
Company12,Unknown,Cloud,2024-03-03,2024,"42,340",NA,0.00%,HR,Not specified,Public,Low,Large,Unknown
Company5,Unknown,Software,2024-06-29,2024,"41,888",2882,6.88%,Sales,100M,Series A,Moderate,Large,Early Stage
Netflix,Germany,Entertainment,2020-03-13,2020,"12,320",998,8.10%,HR,Not specified,IPO,Severe,Medium,Unknown
Company21,United States,Automotive,2021-10-25,2021,"29,489",2951,10.01%,Sales,2B,IPO,Severe,Large,Late Stage
Company23,Unknown,Hardware,2024-08-05,2024,"5,366",143,2.66%,Marketing,5B+,Public,Low,Medium,Mature
Shopify,Canada,Cloud,2022-06-17,2022,"22,849",1586,6.94%,Engineering,5B+,Series A,Moderate,Large,Mature
Company10,United States,Hardware,2025-06-30,2025,"28,463",1523,5.35%,Sales,Not specified,Series A,Moderate,Large,Unknown
Company33,United States,E-commerce,2022-03-19,2022,"25,762",934,3.63%,Product,1B,Series A,Low,Large,Late Stage
Zoom,United States,Entertainment,2022-05-22,2022,"11,447",133,1.16%,Design,5B+,Private,Low,Medium,Mature
Salesforce,United States,Hardware,2024-07-19,2024,"41,438",2878,6.95%,Marketing,Not Specified,Private,Moderate,Large,Unknown
Snowflake,Canada,Hardware,2020-09-22,2020,"29,798",2086,7.00%,Operations,5B+,Public,Moderate,Large,Mature
Company20,Canada,Social Media,2025-10-14,2025,"13,809",792,5.74%,Design,Not Specified,Public,Moderate,Medium,Unknown
Nvidia,United States,E-commerce,2023-07-28,2023,"9,831",918,9.34%,Product,2B,Series A,Severe,Medium,Late Stage
Nvidia,United States,Fintech,2025-05-26,2025,"14,262",128,0.90%,Finance,Not Specified,Private,Low,Medium,Unknown
Nvidia,India,Software,2022-02-26,2022,"48,367",4882,10.09%,Operations,500M,Private,Severe,Large,Growth Stage
Zoom,United States,Social Media,2023-01-23,2023,"44,317",1453,3.28%,HR,100M,Private,Low,Large,Early Stage
Zoom,United States,Hardware,2022-09-09,2022,"40,017",4069,10.17%,Product,Not specified,Public,Severe,Large,Unknown
Company27,Unknown,Fintech,2022-03-31,2022,"42,719",3486,8.16%,Product,Not specified,Private,Severe,Large,Unknown
Uber,Canada,E-commerce,2020-02-11,2020,"12,278",268,2.18%,HR,5B+,Private,Low,Medium,Mature
Company8,Germany,Fintech,2024-10-16,2024,"41,888",3154,7.53%,Finance,2B,Private,High,Large,Late Stage
Company24,United States,Cloud,2022-10-09,2022,"6,644",25,0.38%,Product,2B,Series A,Low,Medium,Late Stage
Zoom,United States,Entertainment,2023-08-14,2023,"24,888",371,1.49%,Design,2B,Private,Low,Large,Late Stage
Company24,Unknown,Hardware,2021-06-13,2021,"31,885",437,1.37%,Sales,Not specified,Public,Low,Large,Unknown
Company3,Canada,Entertainment,2022-03-27,2022,"13,777",1251,9.08%,HR,100M,Private,Severe,Medium,Early Stage
Company41,United Kingdom,Cloud,2022-03-03,2022,"43,725",313,0.72%,HR,500M,IPO,Low,Large,Growth Stage
Zoom,Unknown,Fintech,2020-08-04,2020,"39,549",2170,5.49%,Engineering,1B,IPO,Moderate,Large,Late Stage
Company42,Germany,Fintech,2024-07-22,2024,"20,464",1489,7.28%,Operations,Not Specified,Series A,High,Large,Unknown
Company14,Germany,Software,2025-09-18,2025,"8,960",423,4.72%,Engineering,100M,Private,Low,Medium,Early Stage
Company20,India,E-commerce,2021-12-28,2021,"40,681",2862,7.04%,Operations,Not Specified,IPO,High,Large,Unknown
Company24,India,Software,2023-05-24,2023,"9,722",32,0.33%,Marketing,2B,Series A,Low,Medium,Late Stage
Company17,United States,Fintech,2020-09-29,2020,"49,562",1350,2.72%,Finance,Not specified,IPO,Low,Large,Unknown
Company23,United States,Social Media,2025-01-08,2025,"30,848",672,2.18%,Product,5B+,Series A,Low,Large,Mature
Company9,Germany,Cloud,2024-06-13,2024,"27,119",1367,5.04%,HR,100M,Private,Moderate,Large,Early Stage
Oracle,United Kingdom,Hardware,2021-12-10,2021,"44,845",713,1.59%,Design,5B+,Series A,Low,Large,Mature
Apple,United States,Automotive,2023-01-03,2023,"37,486",3100,8.27%,Engineering,100M,IPO,Severe,Large,Early Stage
Company31,United Kingdom,Social Media,2022-09-22,2022,"7,787",350,4.49%,Finance,Not specified,Series A,Low,Medium,Unknown
Company37,Unknown,Entertainment,2021-12-06,2021,"16,029",431,2.69%,Engineering,2B,IPO,Low,Medium,Late Stage
Company40,Unknown,Software,2022-02-14,2022,"15,325",869,5.67%,Marketing,5B+,IPO,Moderate,Medium,Mature
Company30,Germany,E-commerce,2021-02-25,2021,"37,393",1413,3.78%,Engineering,Not specified,Series A,Low,Large,Unknown
Company39,Unknown,Entertainment,2023-08-06,2023,"1,527",NA,0.00%,Design,Not Specified,Private,Low,Small,Unknown
Company47,United States,Social Media,2020-12-21,2020,"43,236",3798,8.78%,Marketing,500M,Public,Severe,Large,Growth Stage
Company7,Unknown,Fintech,2024-04-23,2024,"34,012",2837,8.34%,Sales,1B,Public,Severe,Large,Late Stage
Company41,United States,Entertainment,2020-05-09,2020,"11,251",41,0.36%,HR,1B,IPO,Low,Medium,Late Stage
Nvidia,Unknown,Social Media,2024-03-08,2024,"24,705",1485,6.01%,Marketing,5B+,IPO,Moderate,Large,Mature
Company14,United States,Automotive,2025-04-28,2025,"33,632",2066,6.14%,Product,2B,IPO,Moderate,Large,Late Stage
Company20,United States,Cloud,2023-05-09,2023,"33,872",155,0.46%,Product,500M,Private,Low,Large,Growth Stage
Company42,India,E-commerce,2025-08-20,2025,"12,542",1103,8.79%,Product,Not specified,Public,Severe,Medium,Unknown
Company35,United States,Automotive,2022-07-22,2022,"45,399",3241,7.14%,Product,2B,IPO,High,Large,Late Stage
Snowflake,Germany,Entertainment,2023-04-26,2023,"4,652",501,10.77%,Engineering,500M,IPO,Severe,Small,Growth Stage
Company17,United States,Social Media,2022-08-23,2022,"4,980",NA,0.00%,Operations,100M,Public,Low,Small,Early Stage
Salesforce,United States,Software,2022-05-30,2022,"21,215",1085,5.11%,Sales,1B,Series A,Moderate,Large,Late Stage
Shopify,United States,Cloud,2024-04-26,2024,"4,465",369,8.26%,Finance,500M,IPO,Severe,Small,Growth Stage
Zoom,United States,Software,2024-02-26,2024,"32,891",504,1.53%,Design,1B,Public,Low,Large,Late Stage
Snowflake,India,Software,2022-08-05,2022,"44,967",3505,7.79%,Engineering,5B+,Series A,High,Large,Mature
Oracle,United States,Software,2025-02-15,2025,"20,575",2091,10.16%,Sales,Not specified,Series A,Severe,Large,Unknown
Company22,United Kingdom,Fintech,2021-05-05,2021,"25,248",1740,6.89%,HR,100M,IPO,Moderate,Large,Early Stage
Company4,United States,E-commerce,2025-07-25,2025,"49,503",4160,8.40%,Operations,5B+,Public,Severe,Large,Mature
Apple,United Kingdom,Cloud,2023-08-05,2023,"25,968",2315,8.91%,Design,500M,Public,Severe,Large,Growth Stage
Stripe,Unknown,Hardware,2024-01-29,2024,"20,344",1191,5.85%,Operations,100M,Public,Moderate,Large,Early Stage
Google,Germany,Entertainment,2025-11-06,2025,"25,274",32,0.13%,Engineering,100M,Private,Low,Large,Early Stage
Company30,United States,Hardware,2024-04-30,2024,"27,570",NA,0.00%,Marketing,500M,Series A,Low,Large,Growth Stage
Company45,United States,Entertainment,2020-11-08,2020,"29,163",1176,4.03%,Finance,100M,Private,Low,Large,Early Stage
Company44,United Kingdom,Social Media,2023-03-31,2023,"42,457",714,1.68%,Marketing,500M,Private,Low,Large,Growth Stage
Stripe,Canada,E-commerce,2025-01-19,2025,"18,884",1578,8.36%,Marketing,Not Specified,Private,Severe,Medium,Unknown
Company24,United States,Social Media,2024-02-01,2024,"45,624",2997,6.57%,Design,2B,IPO,Moderate,Large,Late Stage
Company45,Canada,Entertainment,2021-08-09,2021,"10,746",335,3.12%,Product,500M,IPO,Low,Medium,Growth Stage
Company6,India,Automotive,2024-09-12,2024,"6,738",202,3.00%,Marketing,5B+,IPO,Low,Medium,Mature
Company22,United States,Social Media,2022-04-05,2022,"11,481",899,7.83%,Product,Not Specified,IPO,High,Medium,Unknown
Netflix,Canada,Hardware,2023-07-26,2023,"38,043",2080,5.47%,HR,2B,Private,Moderate,Large,Late Stage
Company1,Unknown,Fintech,2022-08-03,2022,"13,606",1310,9.63%,Marketing,500M,Public,Severe,Medium,Growth Stage
Company12,United States,Hardware,2021-12-28,2021,"21,954",1389,6.33%,Operations,Not specified,Private,Moderate,Large,Unknown
Company32,United Kingdom,Software,2022-12-15,2022,"12,144",268,2.21%,Marketing,100M,Series A,Low,Medium,Early Stage
Company22,India,Fintech,2021-09-19,2021,"10,120",26,0.26%,Marketing,500M,Series A,Low,Medium,Growth Stage
Twitter,Unknown,Fintech,2023-09-30,2023,"5,889",30,0.51%,Sales,500M,Public,Low,Medium,Growth Stage
Company46,United States,Hardware,2023-04-28,2023,"27,315",670,2.45%,Finance,500M,Series A,Low,Large,Growth Stage
Company39,United States,Hardware,2025-08-03,2025,"39,977",2435,6.09%,Finance,Not Specified,Public,Moderate,Large,Unknown
Company50,Germany,Fintech,2023-06-06,2023,"8,254",NA,0.00%,Engineering,1B,Private,Low,Medium,Late Stage
Company41,Unknown,Social Media,2021-06-15,2021,"5,460",362,6.63%,Engineering,Not specified,Private,Moderate,Medium,Unknown
Company18,United States,E-commerce,2022-09-19,2022,"39,079",2236,5.72%,HR,500M,Series A,Moderate,Large,Growth Stage
Meta,United States,Cloud,2023-11-19,2023,"43,719",801,1.83%,HR,2B,Series A,Low,Large,Late Stage
Company10,United States,E-commerce,2023-09-29,2023,"34,607",1061,3.07%,Design,100M,Series A,Low,Large,Early Stage
Stripe,Germany,Social Media,2022-04-02,2022,"12,219",NA,0.00%,Design,Not specified,IPO,Low,Medium,Unknown
Company38,United States,Hardware,2025-07-09,2025,"47,305",573,1.21%,HR,100M,Public,Low,Large,Early Stage
DoorDash,United Kingdom,Automotive,2024-07-31,2024,"7,499",441,5.88%,Sales,100M,IPO,Moderate,Medium,Early Stage
Company9,Germany,E-commerce,2021-10-05,2021,"48,376",1036,2.14%,Finance,Not specified,Public,Low,Large,Unknown
Company49,Germany,Social Media,2022-06-19,2022,"33,360",2211,6.63%,HR,500M,Private,Moderate,Large,Growth Stage
Twitter,Germany,E-commerce,2024-02-02,2024,"1,958",160,8.17%,Finance,2B,Public,Severe,Small,Late Stage
Company26,United States,Social Media,2024-08-10,2024,"37,880",2983,7.87%,Marketing,5B+,Private,High,Large,Mature
Company23,Canada,Automotive,2021-11-22,2021,"41,928",NA,0.00%,Marketing,2B,Private,Low,Large,Late Stage
Company40,Germany,Cloud,2022-08-31,2022,"14,149",70,0.49%,Operations,5B+,IPO,Low,Medium,Mature
Company35,United States,Cloud,2024-03-06,2024,"18,246",447,2.45%,Sales,2B,Series A,Low,Medium,Late Stage
Twitter,France,Automotive,2020-07-01,2020,"47,515",2050,4.31%,HR,Not Specified,IPO,Low,Large,Unknown
Company9,United Kingdom,Hardware,2025-01-16,2025,"9,990",620,6.21%,Product,2B,IPO,Moderate,Medium,Late Stage
Company15,United States,Entertainment,2021-07-28,2021,"17,508",715,4.08%,Operations,5B+,Series A,Low,Medium,Mature
Company5,United States,Hardware,2025-01-29,2025,"12,116",1089,8.99%,Design,Not Specified,IPO,Severe,Medium,Unknown
Company35,Unknown,Software,2021-11-25,2021,"19,615",1826,9.31%,Engineering,Not specified,Private,Severe,Medium,Unknown
Amazon,France,Social Media,2025-06-19,2025,"7,691",725,9.43%,Sales,Not Specified,Public,Severe,Medium,Unknown
Netflix,Germany,Social Media,2023-01-23,2023,"5,893",208,3.53%,Product,500M,Series A,Low,Medium,Growth Stage
Company23,United Kingdom,Software,2023-08-12,2023,"6,349",587,9.25%,Engineering,500M,IPO,Severe,Medium,Growth Stage
DoorDash,Germany,Social Media,2021-06-01,2021,"1,175",155,13.19%,Product,2B,Private,Severe,Small,Late Stage
Company11,Unknown,Software,2023-02-16,2023,"8,187",142,1.73%,Product,100M,Series A,Low,Medium,Early Stage
Company36,Canada,Social Media,2025-09-15,2025,"43,095",277,0.64%,Design,Not specified,IPO,Low,Large,Unknown
Company45,United States,Automotive,2023-12-03,2023,"20,422",287,1.41%,Finance,500M,IPO,Low,Large,Growth Stage
Stripe,Unknown,Entertainment,2024-12-01,2024,"22,059",1174,5.32%,Sales,1B,Series A,Moderate,Large,Late Stage
Company27,India,Fintech,2020-08-04,2020,"42,881",414,0.97%,Finance,500M,Public,Low,Large,Growth Stage
Company8,United States,Automotive,2024-06-26,2024,"47,260",3469,7.34%,Operations,Not specified,Public,High,Large,Unknown
Company6,Unknown,Automotive,2024-07-03,2024,"20,691",2039,9.85%,Design,1B,Public,Severe,Large,Late Stage
Amazon,United States,E-commerce,2024-03-06,2024,"2,987",231,7.73%,Operations,Not specified,IPO,High,Small,Unknown
